Year,China Gasoline Demand,China Population,China Gasoline Demand Per Capita,India Gasoline Demand,India Population,India Gasoline Demand Per Capita,U.S Gasoline Demand,U.S Population,U.S Gasoline Demand Per Capita
2005,410210,1303720000,0.04,72833,1144118674,0.01,3351786,295516599,1.31
2006,441745,1311020000,0.04,76905,1161977719,0.01,3383928,298379912,1.3
2007,478635,1317885000,0.04,85447,1179681239,0.01,3395881,301231207,1.3
2008,529210,1324655000,0.05,92508,1197146906,0.01,3295678,304093966,1.24
2009,509334,1331260000,0.04,105986,1214270132,0.01,3288835,306771529,1.23
2010,661631,1337705000,0.06,115095,1230980691,0.01,3287627,309338421,1.22
2011,672639,1344130000,0.06,124772,1247236029,0.01,3200116,311644280,1.18
2012,770170,1350695000,0.07,131528,1263065852,0.01,3182662,313993272,1.16
2013,848895,1357380000,0.07,142991,1278562207,0.01,3232043,316234505,1.18
2014,831319,1364270000,0.07,155639,1293859294,0.01,3260378,318622525,1.18
2015,1004700,1371220000,0.08,178565,1309053980,0.02,3354225,321039839,1.2
2016,1004216,1378665000,0.08,200263,1324171354,0.02,3414047,323405935,1.21
2017,1044965,1386395000,0.09,214545,1339180127,0.02,3405495,325719178,1.2
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
