COUNTRY,CODE,"Oil Products Demand Q1, 2018","Population Q1, 2013","Population Q1, 2018","Oil Products Demand per capita Q1, 2018",Oil Products Demand 2012,Oil Products Demand 2017,Oil Products Demand per capita 2012,Oil Products Demand per capita 2017,Growth in Oil Products Demand per capita 2012 to 2017,Percent Growth in Oil Products Demand per capita 2012 to 2018
Kuwait,KWT,262.7865169,3395556,4136528,2.66818784,293.9234973,275.0575342,3.636,2.793,-0.843,-23.182
Saudi Arabia,SAU,2090.876404,29086357,32938213,2.666107265,2163.480874,2411.654795,3.124,3.075,-0.049,-1.565
Canada,CAN,2256.516854,34750545,36708083,2.581821226,2361.15847,2383.035616,2.854,2.727,-0.127,-4.456
Netherlands,NLD,1050.842697,16754962,17132854,2.576067785,1089.789617,1046.350685,2.732,2.565,-0.167,-6.104
United States,USA,20464.66292,313993272,325719178,2.638824794,18490.20765,19873,2.473,2.563,0.089,3.609
Qatar,QAT,184.9101124,2109568,2639211,2.942631233,123.5464481,206.0958904,2.460,3.280,0.820,33.339
Belgium,BEL,737.1910112,11128246,11372068,2.722637824,603.1584699,675.0273973,2.276,2.493,0.217,9.516
Norway,NOR,312.752809,5018573,5282223,2.486759453,252.6065574,275.0191781,2.114,2.187,0.073,3.438
"Korea, South",KOR,2909.595506,50199853,51466201,2.374432324,2464.655738,2813.594521,2.062,2.296,0.234,11.349
Cyprus,CYP,50.04044944,1135062,1179551,1.781778725,54.52896175,54.76164384,2.018,1.950,-0.068,-3.361
Hong Kong,HKG,461.7156865,7150100,7391700,2.623491055,340.9699694,421.8815808,2.003,2.397,0.394,19.686
Australia,AUS,1095.179775,22742475,24598933,1.869900234,963.0874317,1062.49863,1.779,1.814,0.036,1.996
Taiwan,TWN,1020.111002,23263897,23626456,1.81341891,931.5136907,1012.265234,1.682,1.799,0.118,7.001
Brunei,BRN,14.72815843,399748,428697,1.442936745,15.75050656,14.8691989,1.655,1.457,-0.198,-11.970
Iceland,ISL,14.93258427,320716,341284,1.837673431,12.31147541,17.68219178,1.612,2.176,0.564,34.968
Japan,JPN,4459.52809,127629000,126785797,1.477296229,4764.472678,4025.80274,1.568,1.334,-0.234,-14.942
New Zealand,NZL,187.2022472,4408100,4793900,1.640103962,150.2240437,174.4958904,1.431,1.529,0.097,6.809
Sweden,SWE,281.1573034,9519374,10067744,1.17291488,322.6065574,321.4630137,1.423,1.341,-0.082,-5.782
Finland,FIN,192.7078652,5413971,5511303,1.468569291,182.1229508,186.6630137,1.413,1.423,0.010,0.683
Germany,DEU,2539.617978,80425823,82695000,1.289847694,2508.928962,2592.654795,1.310,1.317,0.007,0.502
Austria,AUT,257.0898876,8429991,8809212,1.225736795,257.8169399,266.6931507,1.284,1.272,-0.013,-1.010
Switzerland,CHE,214.7303371,7996861,8466017,1.065279476,240.0437158,223.5424658,1.261,1.109,-0.152,-12.035
